DATE,r,r_next
2020-11-19,0.0006,0.0005
2020-11-20,0.0005,0.0005
2020-11-23,0.0005,0.0007000000000000001
2020-11-24,0.0007000000000000001,0.0008
2020-11-25,0.0008,0.0008
2020-11-27,0.0008,0.0009
2020-11-30,0.0009,0.0008
2020-12-01,0.0008,0.0008
2020-12-02,0.0008,0.0008
2020-12-03,0.0008,0.0009
2020-12-04,0.0009,0.0008
2020-12-07,0.0008,0.0007000000000000001
2020-12-08,0.0007000000000000001,0.0008
2020-12-09,0.0008,0.0008
2020-12-10,0.0008,0.0008
2020-12-11,0.0008,0.0008
2020-12-14,0.0008,0.0009
2020-12-15,0.0009,0.0009
2020-12-16,0.0009,0.0009
2020-12-17,0.0009,0.0009
2020-12-18,0.0009,0.0009
2020-12-21,0.0009,0.0007000000000000001
2020-12-22,0.0007000000000000001,0.0006
2020-12-23,0.0006,0.0008
2020-12-24,0.0008,0.0009
2020-12-28,0.0009,0.001
2020-12-29,0.001,0.0009
2020-12-30,0.0009,0.0007000000000000001
2020-12-31,0.0007000000000000001,0.001
2021-01-04,0.001,0.0011
2021-01-05,0.0011,0.001
2021-01-06,0.001,0.001
2021-01-07,0.001,0.0009
2021-01-08,0.0009,0.0009
2021-01-11,0.0009,0.0008
2021-01-12,0.0008,0.0008
2021-01-13,0.0008,0.0008
2021-01-14,0.0008,0.0008
2021-01-15,0.0008,0.0007000000000000001
2021-01-19,0.0007000000000000001,0.0006
2021-01-20,0.0006,0.0004
2021-01-21,0.0004,0.0005
2021-01-22,0.0005,0.0006
2021-01-25,0.0006,0.0003
2021-01-26,0.0003,0.0003
2021-01-27,0.0003,0.0004
2021-01-28,0.0004,0.0006
2021-01-29,0.0006,0.0007000000000000001
2021-02-01,0.0007000000000000001,0.0007000000000000001
2021-02-02,0.0007000000000000001,0.0007000000000000001
2021-02-03,0.0007000000000000001,0.0005
2021-02-04,0.0005,0.0002
2021-02-05,0.0002,0.0002
2021-02-08,0.0002,0.0005
2021-02-09,0.0005,0.0006
2021-02-10,0.0006,0.0006
2021-02-11,0.0006,0.0005
2021-02-12,0.0005,0.0006
2021-02-16,0.0006,0.0006
2021-02-17,0.0006,0.0003
2021-02-18,0.0003,0.0002
2021-02-19,0.0002,0.0003
2021-02-22,0.0003,0.0001
2021-02-23,0.0001,0.0002
2021-02-24,0.0002,0.0003
2021-02-25,0.0003,0.0001
2021-02-26,0.0001,0.0002
2021-03-01,0.0002,0.0004
2021-03-02,0.0004,0.0004
2021-03-03,0.0004,0.0002
2021-03-04,0.0002,0.0002
2021-03-05,0.0002,0.0002
2021-03-08,0.0002,0.0002
2021-03-09,0.0002,0.0002
2021-03-10,0.0002,0.0001
2021-03-11,0.0001,0.0001
2021-03-12,0.0001,0.0001
2021-03-15,0.0001,0.0001
2021-03-16,0.0001,0.0001
2021-03-17,0.0001,0.0001
2021-03-18,0.0001,0.0001
2021-03-19,0.0001,0.0001
2021-03-22,0.0001,0.0001
2021-03-23,0.0001,0.0001
2021-03-24,0.0001,0.0001
2021-03-25,0.0001,0.0001
2021-03-26,0.0001,0.0001
2021-03-29,0.0001,0.0001
